project,cluster,n_test,n_buggy,precision,recall,f1,gmean,mcc,recall_at_20_percent_effort,effort_at_20_percent_LOC_recall,p_opt,auc
ant-ivy,17,355,67,0.2,0.0448,0.0732,0.2071,0.006,0.597,0.0317,0.8096,0.4746
commons-bcel,0,165,12,0.0,0.0,0.0,0.0,0.0,0.6667,0.0623,0.8473,0.5433
commons-beanutils,6,123,8,0.0,0.0,0.0,0.0,0.0,0.0,0.6624,0.2059,0.3489
commons-codec,5,153,8,0.0,0.0,0.0,0.0,0.0,0.5,0.035,0.7481,0.5789
commons-collections,5,365,10,0.0,0.0,0.0,0.0,-0.0125,0.3,0.059,0.5266,0.6463
commons-compress,7,327,36,0.0,0.0,0.0,0.0,0.0,0.5556,0.0359,0.7471,0.7131
commons-configuration,8,368,31,0.0,0.0,0.0,0.0,0.0,0.1935,0.2292,0.4556,0.5617
commons-dbcp,10,208,12,0.0,0.0,0.0,0.0,0.0,0.0,0.3421,0.335,0.3586
commons-digester,12,216,4,0.0,0.0,0.0,0.0,-0.0665,0.5,0.0345,0.6716,0.3803
commons-io,13,229,15,0.0,0.0,0.0,0.0,0.0,0.5333,0.0544,0.6667,0.545
commons-jcs,9,167,18,0.0,0.0,0.0,0.0,0.0,0.3333,0.0485,0.6528,0.7123
commons-lang,11,595,30,0.0,0.0,0.0,0.0,0.0,0.6,0.0188,0.8373,0.4543
commons-math,14,806,67,0.0,0.0,0.0,0.0,-0.015,0.2985,0.0672,0.6181,0.5296
commons-net,5,225,24,0.0,0.0,0.0,0.0,0.0,0.2917,0.0408,0.5075,0.4706
commons-scxml,15,110,10,0.4,0.4,0.4,0.6132,0.34,0.2,0.1992,0.6447,0.812
commons-validator,1,121,8,0.0,0.0,0.0,0.0,0.0,0.5,0.0351,0.6397,0.6156
commons-vfs,4,223,23,0.0,0.0,0.0,0.0,0.0,0.3913,0.1073,0.5798,0.5805
giraph,2,170,33,0.5294,0.2727,0.36,0.5068,0.2826,0.5758,0.041,0.8317,0.7083
gora,3,111,8,0.0,0.0,0.0,0.0,-0.0777,0.375,0.1567,0.5515,0.4181
opennlp,5,218,19,0.0,0.0,0.0,0.0,0.0,0.3158,0.1106,0.6553,0.5032
parquet-mr,16,225,32,1.0,0.0312,0.0606,0.1768,0.1641,0.375,0.0508,0.7205,0.8
