name,train,test,valid
Sebastian Bazley,1436,523,982
Stephen Colebourne,1161,1,
Henri Yandell,870,3,101
Luc Maisonobe,847,288,167
Oliver Heger,833,349,422
Gary D. Gregory,774,473,605
Xavier Hanin,738,5,52
Phil Steitz,632,44,85
Stefan Bodewig,542,235,212
Gilles Sadowski,390,44,250
Niall Pemberton,383,8,41
Simone Tripodi,371,169,223
Ju00c3u00b6rn Kottmann,363,74,123
Rahul Akolkar,359,,37
Aaron Smuts,312,,1
Mario Ivankovits,288,,15
julien,284,2,23
Emmanuel Bourg,269,7,4
Maarten Coene,243,84,193
William Colen,229,1,22
Avery Ching,218,3,11
Rory Winston,180,,3
Mark Thomas,167,21,104
Robert Burrell Donkin,166,,
Dirk Verbeeck,151,,
adammurdoch,148,,
David Graham,139,,
David Brosius,136,18,19
Lewis John McGibbney,136,5,26
Tianshuo Deng,135,13,45
Craig R. McClanahan,133,50,
Rodney Waldhoff,133,14,
Sebastien Brisard,129,,150
Matthew Jason Benson,126,5,56
Mark R. Diggory,113,,
Ralph Goers,103,7,12
Simon Kitching,97,,
Niall Kegan Pemberton,92,,
Hanson Char,89,,
Morgan James Delagrange,84,,
Markus Dahm,83,,
Torsten Curdt,74,,4
Scokart Gilles,74,1,21
Maja Kabiljo,64,67,64
Steven M. Cohen,60,,
David Eric Pugh,59,,
Brent Worden,58,,19
Jeremias Maerki,57,,
Steven Caswell,54,,
Michael Smith,52,,
Tim O'Brien,51,,
Daniel Savarese,50,,
William Barker,50,,
Thomas Neidhart,48,315,359
Nitay Joffe,46,1,7
Christian Grobmeier,42,,
James Taylor,41,,
Jakob Glen Homan,41,,
Alessandro Presta,40,,8
Benjamin Speakmon,38,,
Daniel Rall,36,,
Jeffrey Brekke,35,,
Damien Raude-Morvan,35,1,5
Henry Saputra,32,,1
Joerg Schaible,32,1,38
James Kosin,31,,4
Enver Haase,31,,
ckunz,30,,
Timothy O'Brien,29,,
James W. Carman,29,,1
Scott Sanders,28,5,
David Z. Chen,28,,
Claudio Martella,28,4,18
Thomas Vandahl,27,127,78
David Winterfeldt,27,,
Robert Leland,25,,
Martin Cooper,23,,
John McNally,23,,
Furkan KAMACI,23,2,2
Remy Pecqueur,22,,
Mickael Lacour,22,,1
Eli Reisman,22,,7
pjack,22,,
Alex Chaffee,20,,
Aniket Mokashi,20,,8
James Strachan,20,13,
Fredrik Westermarck,19,,
Jonathan Coveney,18,,
James Turner,16,,
Tom White,16,2,14
Avi Bryant,16,,
Henning Schmiedehausen,15,1,
Damjan Jovanovic,15,,2
Mark Giaconia,15,,12
Alex Levenson,15,14,3
Glenn L. Nielsen,14,,
Frank Austin Nothaft,13,,
kazk,12,,
Lukas,12,,29
Colin Marc,12,1,2
