project,accuracy,precision,recall,recall0,f1,gmean,mcc,auc
1,0.8959810874704491,0.2608695652173913,0.32727272727272727,0.9355246523388117,0.2903225806451613,0.5533278453157702,0.23673123415732256,0.8505229283990345
2,0.8867924528301887,0.32905982905982906,0.5,0.9179299529534762,0.39690721649484534,0.677469539150461,0.34636355005736397,0.8683511992450832
3,0.9221556886227545,0.7272727272727273,0.4444444444444444,0.9798657718120806,0.5517241379310345,0.6599211305778494,0.5304619452416987,0.7956748695003728
4,0.8235294117647058,0.5365853658536586,0.6666666666666666,0.8613138686131386,0.5945945945945946,0.7577659571015924,0.4881444792836579,0.8438398584383986
5,0.9022222222222223,0.6388888888888888,0.71875,0.9326424870466321,0.6764705882352942,0.818740977089071,0.6206035227264096,0.9345854922279793
6,0.8198198198198198,0.22727272727272727,0.625,0.8349514563106796,0.3333333333333333,0.7223881644892687,0.29837969135884085,0.8276699029126213
7,0.9181141439205955,0.5063291139240507,0.5970149253731343,0.9472259810554804,0.547945205479452,0.752002691744738,0.505324146034805,0.9118211378829802
8,0.9616438356164384,0.375,0.6,0.971830985915493,0.46153846153846156,0.7636089257920547,0.4559415345381315,0.9014084507042255
9,0.7887323943661971,0.45121951219512196,0.5522388059701493,0.84375,0.4966442953020134,0.6826063964960433,0.36764469595149396,0.81643864013267
10,0.9320652173913043,0.6363636363636364,0.45161290322580644,0.9762611275964391,0.5283018867924528,0.6639970799185244,0.5012591761380176,0.9352924284483584
all,0.8928832116788321,0.4084967320261438,0.5263157894736842,0.9276723276723277,0.45998160073597055,0.698747875497129,0.40554806677913435,0.8798708659761292
